,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,335","1,495","1,369","1,537","1,724","1,483","1,547","1,539","1,846","1,718","1,557","1,486","1,590"
Expenses +,"1,298","1,435","1,307","1,467","1,661","1,277","1,333","1,292","1,605","1,403","1,328","1,296","1,457"
Operating Profit,37,60,63,70,63,205,213,247,241,316,228,190,133
OPM %,3%,4%,5%,5%,4%,14%,14%,16%,13%,18%,15%,13%,8%
Other Income +,21,7,5,2,21,8,28,23,156,10,22,18,19
Interest,29,21,22,20,26,21,19,15,18,16,15,15,17
Depreciation,23,24,25,25,25,21,21,21,23,22,22,23,26
Profit before tax,7,22,21,28,34,170,202,235,357,287,213,170,108
Tax %,0%,0%,0%,0%,138%,0%,0%,0%,23%,27%,28%,29%,30%
Net Profit +,7,22,21,28,-13,170,202,235,273,209,153,120,75
EPS in Rs,0.12,0.40,0.33,0.38,-0.18,2.19,2.51,2.92,3.34,2.35,1.68,1.32,0.83
Raw PDF,,,,,,,,,,,,,
