,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,923","2,224","2,395","2,474","2,646","2,963","3,783","3,520","3,177","3,585","3,772","4,282","4,036"
Expenses +,514,716,718,"1,253",874,959,"1,176","1,248","1,111","1,306","1,379","1,644","1,809"
Operating Profit,"1,409","1,508","1,678","1,221","1,772","2,004","2,607","2,272","2,065","2,279","2,393","2,638","2,227"
OPM %,73%,68%,70%,49%,67%,68%,69%,65%,65%,64%,63%,62%,55%
Other Income +,72,87,99,677,181,165,242,260,306,256,380,515,610
Interest,5,3,2,2,1,1,2,13,27,33,9,9,12
Depreciation,442,478,615,497,400,450,663,700,404,306,486,532,530
Profit before tax,"1,035","1,113","1,159","1,399","1,551","1,718","2,185","1,819","1,941","2,195","2,278","2,613","2,295"
Tax %,32%,33%,32%,34%,34%,34%,34%,24%,21%,25%,25%,26%,
Net Profit +,712,757,796,922,"1,031","1,136","1,434","1,385","1,525","1,642","1,707","1,926","1,747"
EPS in Rs,18.01,18.98,19.84,23.39,26.14,28.80,36.37,35.15,38.70,41.66,43.30,48.85,44.31
Dividend Payout %,53%,50%,57%,66%,38%,35%,21%,71%,13%,33%,35%,34%,
