,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,139","1,428","1,334","1,414","1,339","1,633","1,223","1,535","1,431","1,215","1,151","1,292","1,408"
Expenses +,979,"1,262","1,115","1,171","1,100","1,319",988,"1,207","1,065",945,"1,032","1,065","1,132"
Operating Profit,160,167,220,243,239,314,235,328,366,270,119,227,276
OPM %,14%,12%,16%,17%,18%,19%,19%,21%,26%,22%,10%,18%,20%
Other Income +,22,26,18,22,18,27,33,30,35,44,65,91,2
Interest,12,12,11,13,9,6,7,1,1,0,1,1,1
Depreciation,34,35,35,34,35,34,34,26,26,24,25,25,25
Profit before tax,136,146,193,217,213,301,228,331,374,290,158,292,252
Tax %,24%,-171%,28%,26%,25%,-24%,9%,24%,26%,25%,18%,25%,26%
Net Profit +,104,396,140,161,160,373,207,251,276,218,129,220,186
EPS in Rs,7.07,29.31,10.41,12.02,11.91,27.62,15.42,18.69,20.59,16.30,9.65,16.42,13.89
Raw PDF,,,,,,,,,,,,,
