,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,738,948,"1,010","1,147","1,068","1,075","1,075","1,196","1,166","1,215","1,192","1,290","1,253"
Expenses +,660,840,904,"1,023",954,958,960,"1,065","1,036","1,076","1,061","1,143","1,109"
Operating Profit,79,108,107,124,114,117,115,131,130,139,132,147,144
OPM %,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
Other Income +,37,5,4,4,5,2,2,2,2,10,8,12,9
Interest,8,7,8,10,11,12,14,15,14,12,10,11,12
Depreciation,27,33,32,34,34,39,39,41,42,44,46,51,50
Profit before tax,80,72,71,85,74,69,63,77,76,92,84,96,90
Tax %,16%,-5%,26%,25%,26%,-80%,27%,24%,33%,25%,26%,26%,29%
Net Profit +,70,76,52,58,52,122,45,59,52,71,64,74,65
EPS in Rs,2.92,3.17,2.20,2.42,2.19,5.10,1.89,2.46,2.20,2.96,2.69,3.11,2.71
Raw PDF,,,,,,,,,,,,,
