,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,428,417,422,487,445,493,632,700,732,757,756,842,906
Expenses +,383,372,377,435,398,437,552,610,627,666,668,740,788
Operating Profit,45,45,44,52,47,57,80,90,106,92,88,102,118
OPM %,11%,11%,11%,11%,11%,11%,13%,13%,14%,12%,12%,12%,13%
Other Income +,3,2,4,8,7,-4,8,9,10,18,17,15,9
Interest,2,3,3,3,3,7,16,16,18,19,19,19,20
Depreciation,10,11,11,12,12,17,29,30,30,29,30,29,33
Profit before tax,35,33,34,44,39,29,43,53,68,62,56,70,74
Tax %,28%,24%,24%,24%,28%,19%,30%,29%,30%,17%,26%,26%,25%
Net Profit +,25,25,26,34,28,24,30,38,48,51,42,52,56
EPS in Rs,3.16,3.09,3.20,4.27,3.43,2.74,3.25,4.02,5.35,6.49,4.65,6.29,6.58
Raw PDF,,,,,,,,,,,,,
