,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,342,341,495,445,409,435,536,486,458,462,638,514,464
Expenses +,294,322,417,378,360,386,414,410,374,406,492,444,417
Operating Profit,48,19,78,67,49,49,122,76,84,56,147,70,47
OPM %,14%,6%,16%,15%,12%,11%,23%,16%,18%,12%,23%,14%,10%
Other Income +,13,10,19,13,18,7,29,27,25,20,28,35,19
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,9,9,9,10,10,10,10,10,10,10,11,14,13
Profit before tax,51,19,87,69,57,45,141,93,98,65,163,90,51
Tax %,30%,45%,19%,25%,28%,32%,22%,25%,19%,29%,27%,20%,28%
Net Profit +,36,10,71,52,41,31,110,70,79,46,119,72,37
EPS in Rs,2.11,0.62,4.26,3.12,2.46,1.85,6.62,4.29,4.87,2.84,7.31,4.42,2.28
Raw PDF,,,,,,,,,,,,,
