,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,620","1,596","1,523","1,015","1,204","1,558","1,854","1,325","1,252","2,161","2,580","2,644","2,566"
Expenses +,"1,474","1,520","1,495","1,011","1,158","1,478","1,738","1,248","1,266","2,101","2,363","2,271","2,211"
Operating Profit,147,75,28,4,45,80,116,78,-14,60,217,373,355
OPM %,9%,5%,2%,0%,4%,5%,6%,6%,-1%,3%,8%,14%,14%
Other Income +,-46,-5,99,-32,10,15,-18,20,-2,"2,533",12,-7,-7
Interest,158,187,239,282,270,277,278,275,263,13,22,11,11
Depreciation,101,109,79,75,66,61,57,66,64,62,59,87,94
Profit before tax,-158,-226,-191,-385,-282,-244,-237,-242,-342,"2,517",149,267,244
Tax %,-21%,-14%,-2%,2%,0%,-0%,0%,-1%,0%,6%,41%,35%,
Net Profit +,-124,-194,-188,-395,-282,-243,-237,-240,-343,"2,374",88,174,162
EPS in Rs,-8.47,-13.25,-12.84,-26.95,-19.23,-16.57,-16.18,-16.41,-23.38,79.01,2.92,5.78,5.39
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,
