,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,402","1,644","2,048","1,719","1,578","1,749","1,387","1,056","1,459","1,705","2,161","2,045"
Expenses +,"2,620","1,802","2,118","1,601","1,567","1,572","1,432",954,"1,253","1,367","1,649","1,708"
Operating Profit,-219,-158,-69,118,11,177,-45,103,205,338,512,336
OPM %,-9%,-10%,-3%,7%,1%,10%,-3%,10%,14%,20%,24%,16%
Other Income +,35,52,503,391,525,253,169,185,322,"1,456",158,166
Interest,380,515,397,399,369,378,341,325,373,363,158,120
Depreciation,69,92,66,59,55,48,45,32,31,42,48,51
Profit before tax,-633,-712,-29,50,111,3,-263,-70,123,"1,389",463,331
Tax %,-33%,-32%,22%,68%,41%,102%,1%,-128%,67%,17%,31%,36%
Net Profit +,-408,-483,-45,-12,33,-0,-266,19,40,"1,153",321,210
EPS in Rs,-72.53,-84.44,-8.16,-1.06,5.00,2.51,-28.62,2.83,3.41,164.83,44.48,28.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
