,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,668,616,599,637,751,"1,087","1,343","1,156","1,227","1,630","2,160","2,914","3,202"
Expenses +,639,591,580,607,712,995,"1,245","1,065","1,108","1,478","1,939","2,510","2,730"
Operating Profit,29,25,19,31,39,92,98,92,119,151,221,404,472
OPM %,4%,4%,3%,5%,5%,8%,7%,8%,10%,9%,10%,14%,15%
Other Income +,5,5,12,10,8,8,10,4,15,11,41,77,113
Interest,10,10,13,14,16,14,12,15,12,10,10,23,35
Depreciation,14,15,10,11,12,12,12,13,14,15,18,23,28
Profit before tax,10,4,8,15,19,74,84,68,108,137,234,434,521
Tax %,39%,24%,35%,42%,27%,30%,33%,23%,26%,24%,26%,24%,
Net Profit +,6,3,5,9,14,52,56,52,80,105,173,328,389
EPS in Rs,0.75,0.46,0.67,0.85,1.31,4.44,4.78,4.63,7.03,8.82,14.41,27.56,32.68
Dividend Payout %,27%,22%,30%,24%,23%,11%,10%,11%,7%,7%,7%,7%,
