,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,384,341,338,375,367,333,346,329,361,390,369,391,402
Expenses +,350,339,335,365,370,341,331,307,329,348,330,356,355
Operating Profit,33,2,3,10,-3,-8,15,22,32,42,39,34,46
OPM %,9%,1%,1%,3%,-1%,-2%,4%,7%,9%,11%,11%,9%,12%
Other Income +,4,-2,1,3,-60,-23,10,7,-1,3,0,6,1
Interest,6,7,8,10,11,10,13,13,12,16,14,15,15
Depreciation,13,14,13,14,15,14,15,15,16,16,17,17,16
Profit before tax,18,-21,-18,-10,-89,-56,-3,1,3,12,8,8,16
Tax %,45%,-27%,-75%,-4%,4%,-38%,123%,-617%,52%,24%,20%,20%,36%
Net Profit +,10,-15,-4,-10,-92,-35,-7,11,1,9,6,6,10
EPS in Rs,0.36,-0.60,-0.15,-0.36,-3.75,-1.40,-0.34,0.33,-0.04,0.26,0.10,0.14,0.37
Raw PDF,,,,,,,,,,,,,
