,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"3,250","3,224","3,466","3,609","3,834","4,081","4,848","5,291"
Interest,"2,041","1,994","2,147","2,072","2,019","1,987","2,697","2,990"
Expenses +,"1,366","1,350","1,231","1,355","1,470","1,276","1,327","1,577"
Financing Profit,-157,-120,89,183,346,818,824,724
Financing Margin %,-5%,-4%,3%,5%,9%,20%,17%,14%
Other Income +,506,414,526,644,812,629,645,850
Depreciation,40,36,30,29,33,54,75,0
Profit before tax,310,259,585,798,"1,125","1,394","1,394","1,575"
Tax %,28%,0%,30%,24%,27%,26%,23%,25%
Net Profit +,222,259,408,603,822,"1,029","1,072","1,183"
EPS in Rs,15.57,18.14,28.61,42.34,57.67,65.00,67.70,74.68
Dividend Payout %,21%,13%,0%,0%,9%,8%,15%,15%
