,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,543","1,349",834,860,924,"1,012",769,820,762,"1,158","1,110","1,245","1,201"
Expenses +,"1,436","1,296",816,792,834,927,713,799,699,"1,067","1,012","1,134","1,109"
Operating Profit,107,53,19,68,89,85,57,21,63,90,98,110,91
OPM %,7%,4%,2%,8%,10%,8%,7%,3%,8%,8%,9%,9%,8%
Other Income +,23,-65,31,23,0,31,5,-22,7,41,-16,12,37
Interest,93,97,81,82,83,77,59,69,59,55,51,49,51
Depreciation,26,23,47,21,13,12,12,12,11,10,10,10,12
Profit before tax,12,-132,-78,-12,-6,27,-10,-82,-1,66,21,63,66
Tax %,27%,-36%,-26%,-48%,-181%,23%,-34%,-23%,"8,490%",33%,-7%,17%,
Net Profit +,8,-85,-58,-6,5,21,-6,-63,-58,44,22,53,54
EPS in Rs,0.41,-4.14,-2.82,-0.29,0.24,0.98,-0.28,-2.79,-2.59,1.95,0.98,2.33,2.42
Dividend Payout %,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
