,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,786","2,605","2,124","1,711","1,993","1,338","1,903","2,446","3,343","2,620","1,796","1,625","1,171"
Expenses +,"2,541","2,408","1,948","1,886","1,941","1,203","1,712","2,294","3,179","2,764","2,108","1,827","1,242"
Operating Profit,245,198,177,-176,53,135,191,152,164,-144,-313,-202,-71
OPM %,9%,8%,8%,-10%,3%,10%,10%,6%,5%,-5%,-17%,-12%,-6%
Other Income +,95,207,173,184,92,-9,40,157,66,-5,81,147,190
Interest,2,24,10,31,60,32,54,69,81,97,77,96,38
Depreciation,55,61,73,72,60,51,31,66,50,44,23,20,16
Profit before tax,282,320,266,-94,26,42,146,173,99,-291,-331,-171,65
Tax %,35%,28%,34%,-39%,110%,37%,48%,51%,29%,-1%,33%,0%,
Net Profit +,184,231,177,-58,-2,27,75,85,70,-289,-441,-171,65
EPS in Rs,27.31,34.31,26.31,-8.63,-0.37,3.96,11.22,12.58,10.48,-42.96,-65.54,-25.49,9.63
Dividend Payout %,37%,41%,38%,0%,-820%,76%,54%,16%,10%,0%,0%,0%,
