,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,170,193,184,196,216,226,215,252,232,256,224,265,275
Expenses +,150,164,161,156,184,179,181,216,202,223,192,231,234
Operating Profit,20,29,24,39,32,47,34,37,30,32,31,33,40
OPM %,12%,15%,13%,20%,15%,21%,16%,15%,13%,13%,14%,13%,15%
Other Income +,0,1,-42,4,-22,1,2,1,2,5,10,4,1
Interest,4,4,2,8,12,14,20,12,12,13,8,9,7
Depreciation,6,7,6,7,6,7,7,9,8,10,9,10,11
Profit before tax,10,18,-26,28,-8,27,8,18,11,16,24,19,23
Tax %,23%,42%,20%,25%,32%,41%,33%,36%,32%,44%,31%,35%,36%
Net Profit +,8,11,-32,21,-10,16,6,11,8,9,17,12,15
EPS in Rs,2.07,2.78,-8.37,5.52,-2.71,4.16,1.47,2.88,1.93,2.08,4.07,2.91,3.49
Raw PDF,,,,,,,,,,,,,
