,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,22,30,42,34,22,46,63,80,98,60,106,148
Expenses +,20,28,39,32,20,39,54,65,78,50,86,119
Operating Profit,2,2,3,3,2,6,9,15,20,10,20,29
OPM %,11%,8%,7%,8%,10%,13%,15%,18%,20%,17%,19%,20%
Other Income +,1,1,1,1,1,1,1,2,3,3,7,6
Interest,0,0,0,0,0,0,0,1,0,0,0,0
Depreciation,0,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,2,2,3,3,2,6,9,16,22,12,25,33
Tax %,34%,32%,36%,34%,25%,29%,23%,25%,26%,28%,24%,23%
Net Profit +,1,2,2,2,1,4,7,12,17,9,19,25
EPS in Rs,0.63,0.76,0.82,0.95,0.70,2.01,3.33,5.61,7.83,4.15,9.13,11.95
Dividend Payout %,25%,21%,19%,17%,23%,8%,7%,14%,10%,19%,22%,20%
