,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,52,53,60,112,52,54,55,107,62,63,62,123,61
Expenses +,1,4,2,1,1,3,2,2,5,1,2,2,5
Operating Profit,51,49,58,111,51,51,53,104,57,62,60,121,56
OPM %,98%,93%,97%,99%,97%,95%,96%,98%,92%,98%,97%,98%,93%
Other Income +,0,0,0,0,0,1,0,0,0,0,0,2,1
Interest,13,14,17,19,13,16,16,17,19,22,20,20,20
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,37,35,41,92,38,37,36,87,38,40,40,103,37
Tax %,25%,26%,26%,29%,13%,26%,25%,26%,27%,25%,25%,25%,28%
Net Profit +,33,54,45,89,36,75,25,54,56,31,33,78,13
EPS in Rs,29.69,49.14,41.07,80.68,32.56,67.81,22.85,48.95,50.14,28.40,29.36,70.18,12.08
Raw PDF,,,,,,,,,,,,,
