,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,772,"1,083","1,753","1,775",833,794,622,334,"1,148","1,278","1,831","2,654","2,624"
Expenses +,620,850,"1,483","1,535",794,790,626,380,"1,026","1,176","1,653","2,401","2,290"
Operating Profit,152,234,270,240,39,4,-4,-45,122,102,178,252,334
OPM %,20%,22%,15%,14%,5%,1%,-1%,-14%,11%,8%,10%,10%,13%
Other Income +,-21,6,-225,24,25,20,-265,487,93,112,102,211,78
Interest,55,30,20,22,17,19,20,31,60,58,68,76,75
Depreciation,26,26,35,44,48,39,33,28,45,58,73,79,70
Profit before tax,50,184,-9,198,-1,-33,-322,382,110,98,139,309,267
Tax %,11%,5%,315%,23%,"1,502%",36%,2%,-0%,21%,12%,21%,9%,
Net Profit +,44,174,-36,162,-19,-45,-327,383,87,87,110,282,278
EPS in Rs,5.32,20.03,-4.19,18.66,-2.17,-5.19,-38.05,44.57,10.06,9.46,12.79,31.37,29.68
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,5%,5%,0%,0%,
