,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,676,812,"1,602","2,267","2,317","2,239","2,372","1,730","2,013","2,517","2,705","2,781"
Expenses +,509,623,"1,329","1,932","1,948","2,055","1,996","1,489","1,691","2,036","2,182","2,203"
Operating Profit,167,189,273,335,369,184,375,241,323,481,522,578
OPM %,25%,23%,17%,15%,16%,8%,16%,14%,16%,19%,19%,21%
Other Income +,14,-4,-4,27,34,55,58,116,163,106,114,129
Interest,8,11,25,32,86,40,85,91,105,126,140,148
Depreciation,39,66,98,106,100,101,247,264,271,290,337,366
Profit before tax,134,107,146,224,217,98,101,2,111,171,160,193
Tax %,35%,25%,38%,35%,39%,39%,232%,667%,39%,33%,27%,35%
Net Profit +,87,81,90,146,133,60,-134,-14,68,114,116,126
EPS in Rs,4.36,4.07,4.34,7.44,6.61,3.02,-6.59,-0.65,3.37,5.72,5.72,6.32
Dividend Payout %,40%,43%,51%,30%,40%,0%,0%,0%,0%,0%,0%,0%
