,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,318,302,314,327,340,364,380,387,393,408,415,436,426
Interest,168,165,169,181,186,203,207,215,220,233,240,248,246
Expenses +,95,53,50,37,42,40,40,39,33,43,26,45,28
Financing Profit,56,84,95,109,113,122,132,133,140,132,149,143,152
Financing Margin %,17%,28%,30%,33%,33%,33%,35%,34%,36%,32%,36%,33%,36%
Other Income +,6,5,3,4,3,2,1,6,5,8,9,9,9
Depreciation,3,4,3,4,4,4,4,5,6,4,9,8,7
Profit before tax,58,84,95,109,112,120,129,134,139,137,149,144,154
Tax %,28%,26%,25%,26%,27%,26%,26%,26%,22%,23%,27%,26%,25%
Net Profit +,41,74,70,83,84,95,100,104,114,113,115,113,121
EPS in Rs,6.50,11.75,11.15,13.29,13.42,15.26,15.98,16.63,18.18,17.99,18.40,18.09,19.29
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
