,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,286,307,318,375,487,519,608,673,524,610,822,955,"1,019"
Expenses +,260,278,276,322,448,501,595,580,459,539,675,820,881
Operating Profit,26,29,42,54,39,18,13,93,65,72,146,135,137
OPM %,9%,9%,13%,14%,8%,4%,2%,14%,12%,12%,18%,14%,14%
Other Income +,1,3,-1,3,15,12,24,8,-26,7,-62,10,21
Interest,4,4,3,2,13,14,25,30,24,17,37,58,36
Depreciation,8,8,9,10,12,19,20,33,26,25,27,34,40
Profit before tax,15,20,29,45,29,-3,-8,38,-10,37,21,53,82
Tax %,2%,18%,31%,35%,50%,181%,-9%,21%,104%,38%,123%,37%,
Net Profit +,15,16,20,29,15,-8,-8,30,-21,23,-5,33,53
EPS in Rs,7.32,8.01,7.14,10.51,3.74,-2.18,-2.15,7.88,-5.74,5.86,-1.37,7.82,12.55
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
