,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,424,222,303,703,"1,112","2,160","2,746","4,870"
Expenses +,396,219,298,653,"1,023","1,983","2,484","4,385"
Operating Profit,28,3,5,50,89,177,262,484
OPM %,7%,1%,2%,7%,8%,8%,10%,10%
Other Income +,3,4,7,2,5,4,12,35
Interest,6,11,11,18,23,48,52,89
Depreciation,2,5,9,18,22,35,47,66
Profit before tax,23,-9,-9,15,49,98,176,365
Tax %,23%,0%,-43%,23%,24%,21%,22%,20%
Net Profit +,18,-9,-5,12,37,77,135,288
EPS in Rs,,-0.53,-0.30,0.59,1.74,3.41,5.17,10.17
Dividend Payout %,0%,0%,0%,0%,0%,0%,4%,2%
