,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,957,"1,194","1,340","1,020","1,722","2,266","2,594","2,882"
Expenses +,942,"1,155","1,155",894,"1,417","1,836","2,132","2,405"
Operating Profit,15,39,186,125,305,430,462,477
OPM %,2%,3%,14%,12%,18%,19%,18%,17%
Other Income +,2,9,-83,61,38,30,33,22
Interest,2,18,72,76,78,87,101,112
Depreciation,55,74,191,209,214,264,324,364
Profit before tax,-40,-44,-161,-99,51,108,70,23
Tax %,3%,3%,-1%,1%,11%,-115%,26%,28%
Net Profit +,-41,-45,-159,-100,46,233,52,17
EPS in Rs,-1.97,-2.07,-6.27,-3.73,1.46,7.35,1.66,0.60
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%
