,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,43,47,50,50,47,60,64,24,50,93,121,135
Expenses +,28,31,35,36,36,42,43,24,35,57,69,76
Operating Profit,15,16,15,14,11,17,21,0,15,36,51,59
OPM %,34%,34%,30%,28%,24%,29%,33%,2%,29%,39%,43%,44%
Other Income +,1,1,1,2,1,1,-0,1,0,1,3,5
Interest,0,0,0,0,0,1,1,1,1,0,0,0
Depreciation,2,3,3,5,4,5,6,7,6,6,6,6
Profit before tax,14,14,13,11,8,12,14,-7,8,31,48,58
Tax %,35%,35%,36%,37%,17%,28%,21%,-25%,27%,25%,25%,26%
Net Profit +,9,9,8,7,6,9,11,-5,6,23,36,43
EPS in Rs,69.08,71.00,65.23,52.46,49.85,67.08,81.62,-40.23,43.46,179.85,277.23,332.69
Dividend Payout %,29%,28%,31%,29%,30%,22%,9%,0%,23%,11%,9%,0%
