,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,342.86,250.02,192.28,200.78,198.22,105.03,74.45,74.55,59.96,134.41,223.86,250.30,307.42
Expenses +,469.77,477.33,496.36,221.22,205.84,117.32,63.05,64.21,56.95,116.44,199.72,237.26,291.48
Operating Profit,-126.91,-227.31,-304.08,-20.44,-7.62,-12.29,11.40,10.34,3.01,17.97,24.14,13.04,15.94
OPM %,-37.02%,-90.92%,-158.14%,-10.18%,-3.84%,-11.70%,15.31%,13.87%,5.02%,13.37%,10.78%,5.21%,5.19%
Other Income +,8.20,93.67,21.59,1.17,1.59,7.29,0.07,-1.06,-1.44,2.88,-0.04,0.18,0.09
Interest,61.99,33.38,22.20,1.53,0.98,0.82,1.23,2.19,2.13,1.16,2.67,4.32,4.80
Depreciation,22.89,22.89,25.26,23.90,23.90,23.90,4.72,4.72,4.72,5.40,4.89,4.92,4.98
Profit before tax,-203.59,-189.91,-329.95,-44.70,-30.91,-29.72,5.52,2.37,-5.28,14.29,16.54,3.98,6.25
Tax %,0.00%,0.00%,-3.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.84%,-0.12%,-0.50%,-0.32%
Net Profit +,-204.45,-213.23,-305.55,-46.69,-30.90,-29.71,5.52,2.37,-5.28,14.42,16.56,4.00,6.27
EPS in Rs,-2.96,-3.09,-1.13,-0.17,-0.11,-0.11,0.10,0.04,-0.10,0.27,0.31,0.08,0.12
Raw PDF,,,,,,,,,,,,,
