,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,652","1,938","2,176","2,185","1,961","2,152","2,431","2,104","1,939","2,543","2,985","2,926","3,201"
Expenses +,"1,551","1,787","1,958","1,858","1,676","1,899","2,168","1,887","1,709","2,373","2,751","2,625","2,965"
Operating Profit,101,150,219,326,284,253,263,217,230,170,234,301,235
OPM %,6%,8%,10%,15%,14%,12%,11%,10%,12%,7%,8%,10%,7%
Other Income +,33,2,-7,23,5,15,12,10,5,4,4,-2,-9
Interest,62,50,33,22,22,31,37,39,33,34,44,48,52
Depreciation,25,26,42,44,56,69,85,100,104,80,92,104,119
Profit before tax,47,77,137,284,211,169,153,87,98,59,101,146,55
Tax %,30%,15%,29%,33%,29%,31%,33%,6%,24%,27%,23%,26%,
Net Profit +,33,65,98,190,148,116,103,82,74,43,78,108,35
EPS in Rs,35.51,73.89,130.11,243.09,192.79,151.68,134.44,107.53,96.54,56.77,101.85,140.98,45.44
Dividend Payout %,21%,22%,26%,25%,26%,26%,30%,19%,31%,29%,32%,34%,
