,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"1,793","1,800","1,980","2,107","2,105","2,316","2,406","2,491","2,481","2,652","2,739","2,931","3,159"
Interest,"1,096","1,091","1,205","1,302","1,421","1,578","1,731","1,752","1,792","1,802","1,866","1,992","2,037"
Expenses +,463,542,723,391,638,682,648,920,875,831,924,902,"1,356"
Financing Profit,234,167,52,414,46,56,27,-181,-186,19,-52,36,-234
Financing Margin %,13%,9%,3%,20%,2%,2%,1%,-7%,-8%,1%,-2%,1%,-7%
Other Income +,215,115,140,138,547,179,268,362,413,194,359,338,677
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,449,282,193,552,593,234,295,181,227,213,307,375,442
Tax %,23%,27%,-44%,32%,23%,35%,36%,37%,39%,15%,22%,25%,29%
Net Profit +,346,205,278,373,457,153,189,114,139,182,240,282,313
EPS in Rs,0.51,0.30,0.41,0.55,0.67,0.23,0.28,0.17,0.21,0.27,0.35,0.42,0.44
Gross NPA %,12.17%,11.34%,9.67%,8.36%,6.97%,6.80%,6.23%,5.70%,5.43%,4.72%,4.21%,3.83%,3.38%
Net NPA %,2.74%,2.56%,2.24%,2.02%,1.84%,1.95%,1.88%,1.80%,1.63%,1.59%,1.46%,1.25%,0.96%
Raw PDF,,,,,,,,,,,,,
