,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,414,445,516,474,523,537,578,573,584,620,669,634,769
Expenses +,363,392,453,423,462,473,511,505,510,539,592,559,689
Operating Profit,51,54,62,51,61,65,66,68,74,80,77,75,80
OPM %,12%,12%,12%,11%,12%,12%,12%,12%,13%,13%,12%,12%,10%
Other Income +,2,1,10,1,2,3,4,2,4,2,6,4,4
Interest,5,5,5,4,5,5,5,5,4,3,3,2,5
Depreciation,20,20,20,20,17,20,21,21,20,20,21,22,26
Profit before tax,27,30,48,27,41,43,44,44,55,59,60,54,53
Tax %,52%,32%,1%,2%,28%,26%,25%,23%,24%,23%,25%,24%,34%
Net Profit +,13,21,48,27,30,32,33,34,42,46,45,41,35
EPS in Rs,1.08,1.69,3.90,2.20,2.44,2.62,2.72,2.79,3.40,3.74,3.70,3.40,2.87
Raw PDF,,,,,,,,,,,,,
