,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,354,269,275,228,190,195,263,260,204,176,204,163,151
Expenses +,512,593,567,307,727,318,275,299,274,261,298,274,258
Operating Profit,-158,-324,-292,-79,-537,-123,-12,-39,-70,-85,-94,-111,-107
OPM %,-45%,-120%,-106%,-34%,-283%,-63%,-5%,-15%,-35%,-49%,-46%,-68%,-70%
Other Income +,22,353,40,-136,47,48,245,271,58,702,57,"2,735","2,714"
Interest,328,262,291,53,62,66,67,65,84,74,69,68,69
Depreciation,14,13,12,10,11,10,9,10,10,10,9,8,8
Profit before tax,-478,-246,-556,-278,-562,-151,156,157,-105,533,-115,"2,548","2,531"
Tax %,0%,8%,0%,0%,-3%,-0%,0%,1%,4%,0%,7%,-0%,
Net Profit +,-480,-265,-557,-278,-544,-151,155,156,-110,533,-123,"2,551","2,534"
EPS in Rs,-6.32,-3.48,-4.63,-2.31,-4.52,-1.26,4.36,4.38,-3.09,14.97,-3.46,71.73,71.26
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
