,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,713","1,779","1,794","2,012","2,573","2,247","2,341","2,111","2,678","2,094","2,044","1,983","2,397"
Expenses +,"1,418","1,476","1,606","1,729","2,161","1,903","1,935","1,714","2,259","1,773","1,730","1,704","2,078"
Operating Profit,295,303,188,283,412,343,406,397,419,320,314,279,319
OPM %,17%,17%,10%,14%,16%,15%,17%,19%,16%,15%,15%,14%,13%
Other Income +,9,6,7,9,11,7,12,7,14,8,10,199,23
Interest,33,47,55,61,77,93,117,102,104,113,120,113,113
Depreciation,108,107,122,136,141,150,163,180,154,168,170,175,183
Profit before tax,163,155,18,95,205,108,138,121,175,48,34,191,46
Tax %,24%,27%,30%,31%,26%,27%,27%,31%,26%,27%,27%,4%,46%
Net Profit +,118,109,4,51,151,74,72,82,129,37,26,182,26
EPS in Rs,5.02,4.61,0.13,2.18,6.38,3.15,3.05,3.58,5.46,1.57,1.09,7.72,1.16
Raw PDF,,,,,,,,,,,,,
