,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,93,83,88,97,96,86,120,139,145,141,154,176,170
Expenses +,119,80,80,87,84,81,99,113,118,120,122,126,123
Operating Profit,-26,2,8,11,12,5,21,25,27,22,33,50,46
OPM %,-28%,3%,9%,11%,12%,6%,18%,18%,19%,15%,21%,28%,27%
Other Income +,13,10,15,19,21,21,-2,-32,17,16,18,17,20
Interest,2,2,2,2,2,2,2,2,3,3,3,3,3
Depreciation,6,7,7,7,8,8,9,10,10,10,11,11,10
Profit before tax,-21,4,14,20,23,16,8,-19,31,24,37,53,53
Tax %,-0%,13%,59%,30%,24%,14%,34%,26%,20%,7%,17%,15%,14%
Net Profit +,-21,3,6,14,18,14,5,-24,25,23,31,46,46
EPS in Rs,-5.51,0.55,0.74,2.79,3.19,2.77,0.64,-5.17,4.80,4.72,5.89,9.01,8.82
Raw PDF,,,,,,,,,,,,,
