,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,0,0,0,0,0,0,0,14,"4,124","5,610","7,510"
Expenses +,42,6,278,663,"1,309",153,2,36,"4,083","5,558","6,936"
Operating Profit,-42,-6,-278,-663,"-1,309",-153,-2,-22,40,51,575
OPM %,,,,,,,"-1,670%",-156%,1%,1%,8%
Other Income +,168,-155,0,0,0,2,2,579,-255,532,11
Interest,4,0,0,0,0,1,0,2,49,114,107
Depreciation,1,0,0,0,0,0,0,1,10,17,16
Profit before tax,120,-161,-278,-663,"-1,308",-153,0,554,-273,453,462
Tax %,30%,-0%,-0%,0%,0%,0%,0%,0%,5%,6%,
Net Profit +,84,-161,-278,-663,"-1,308",-153,0,554,-286,424,358
EPS in Rs,0.33,-1.17,-2.01,-4.80,-9.46,-1.11,0.00,4.01,-2.06,3.08,2.59
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
