,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,371,571,614,719,779,789,733,908,899,"1,141","1,046","1,146","1,247"
Expenses +,301,455,485,566,614,634,585,688,718,940,947,907,941
Operating Profit,70,116,129,153,165,155,148,219,181,202,99,239,306
OPM %,19%,20%,21%,21%,21%,20%,20%,24%,20%,18%,9%,21%,25%
Other Income +,5,6,5,5,15,22,33,17,90,21,17,15,25
Interest,2,4,4,7,3,3,4,5,22,41,59,92,85
Depreciation,15,23,21,29,31,37,42,44,54,80,96,108,111
Profit before tax,57,95,108,122,146,137,136,188,195,102,-38,54,135
Tax %,17%,21%,33%,19%,29%,25%,19%,18%,25%,41%,-19%,41%,
Net Profit +,47,75,73,99,104,103,110,155,146,61,-31,32,88
EPS in Rs,6.44,10.28,9.56,13.46,13.43,12.91,13.77,19.15,18.13,6.99,-3.75,3.67,9.34
Dividend Payout %,7%,5%,6%,4%,4%,5%,7%,6%,6%,16%,0%,0%,
