,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,992","1,879","1,808","1,956","2,448","1,935","2,154","2,657","3,052","2,465","2,489","2,388","2,694"
Expenses +,"1,424","1,395","1,382","1,466","1,893","1,462","1,608","2,070","2,426","1,866","1,584","1,749","1,917"
Operating Profit,567,484,425,490,556,473,546,587,626,599,905,639,777
OPM %,28%,26%,24%,25%,23%,24%,25%,22%,21%,24%,36%,27%,29%
Other Income +,69,43,37,41,-42,38,41,42,193,29,40,39,61
Interest,259,250,276,290,288,319,321,337,334,308,307,313,318
Depreciation,117,84,82,88,87,96,99,103,68,94,98,58,40
Profit before tax,260,193,104,152,139,97,167,189,417,227,540,307,481
Tax %,14%,30%,37%,9%,132%,26%,29%,48%,39%,30%,14%,-116%,6%
Net Profit +,225,135,66,138,-45,72,119,99,254,158,462,662,452
EPS in Rs,8.05,4.79,2.27,4.85,-1.49,2.41,4.00,3.43,8.89,5.36,16.28,23.32,15.40
Raw PDF,,,,,,,,,,,,,
