,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Revenue +,"3,703","4,107","4,285","5,027","5,588","6,331","3,696","4,707","5,292","5,111","5,501","7,274","8,382"
Interest,"1,516","1,724","1,782","1,814","1,735","1,344","1,770","2,427","2,659","2,236","2,410","3,418","4,070"
Expenses +,"1,288","1,389","1,505","2,221","2,735","3,906",932,"1,222","1,235","1,392","1,285","1,632","1,823"
Financing Profit,900,993,999,992,"1,118","1,080",994,"1,057","1,398","1,483","1,806","2,224","2,490"
Financing Margin %,24%,24%,23%,20%,20%,17%,27%,22%,26%,29%,33%,31%,30%
Other Income +,8,-5,-27,7,8,13,482,48,24,35,43,-80,-54
Depreciation,101,112,112,106,104,79,58,90,93,101,139,183,212
Profit before tax,807,876,860,893,"1,022","1,014","1,418","1,016","1,330","1,417","1,711","1,961","2,223"
Tax %,31%,34%,33%,34%,34%,34%,27%,21%,25%,25%,25%,27%,
Net Profit +,620,650,644,662,768,843,"1,258",845,"1,223","1,296","1,510","1,842","1,799"
EPS in Rs,50.76,52.30,51.83,52.49,61.52,65.70,104.49,71.25,104.87,105.61,119.51,129.25,143.51
Dividend Payout %,18%,19%,20%,21%,19%,18%,17%,18%,17%,19%,22%,23%,
