,"Mar 2014
            
              9m",Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,91.83,150.45,206.75,217.93,158.62,4.84,1.86,1.09,44.95,22.91,54.57,94.76
Expenses +,88.19,139.69,162.87,215.75,162.94,24.56,18.95,2.73,38.27,21.41,42.27,76.72
Operating Profit,3.64,10.76,43.88,2.18,-4.32,-19.72,-17.09,-1.64,6.68,1.50,12.30,18.04
OPM %,3.96%,7.15%,21.22%,1.00%,-2.72%,-407.44%,-918.82%,-150.46%,14.86%,6.55%,22.54%,19.04%
Other Income +,-53.16,3.60,-192.76,2.15,-95.02,0.38,1.00,3.14,1.31,1.94,8.61,1.24
Interest,9.28,6.51,0.47,28.52,24.42,0.49,0.33,0.09,2.05,0.80,1.64,4.61
Depreciation,4.60,7.83,7.51,7.81,7.75,7.66,7.53,6.82,2.91,2.37,1.54,1.61
Profit before tax,-63.40,0.02,-156.86,-32.00,-131.51,-27.49,-23.95,-5.41,3.03,0.27,17.73,13.06
Tax %,-28.91%,"-8,900.00%",-29.31%,9.06%,45.51%,0.00%,0.00%,0.00%,0.33%,0.00%,-248.79%,24.81%
Net Profit +,-45.06,1.80,-110.89,-34.90,-191.36,-27.49,-23.95,-5.42,3.01,0.26,61.84,9.83
EPS in Rs,-4.40,0.15,-6.67,-1.58,-8.69,-1.25,-1.09,-0.25,0.14,0.01,2.79,0.41
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
