,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,911","1,173","2,091","2,149","3,012","1,979","2,156","2,398","2,926","2,325","2,832","1,850","2,223"
Expenses +,"1,108",584,"1,418","1,399","2,209","1,262","1,366","1,566","2,058","1,497","1,814","1,168","1,553"
Operating Profit,803,589,672,749,803,717,790,832,869,828,"1,017",682,669
OPM %,42%,50%,32%,35%,27%,36%,37%,35%,30%,36%,36%,37%,30%
Other Income +,38,125,46,61,51,17,9,17,100,12,11,147,120
Interest,729,626,646,646,656,680,662,727,718,701,673,613,550
Depreciation,26,32,30,26,50,30,31,32,33,34,36,34,43
Profit before tax,86,56,43,138,148,24,106,89,218,105,319,181,196
Tax %,47%,36%,-80%,12%,-16%,-224%,11%,-71%,7%,19%,57%,14%,19%
Net Profit +,45,35,77,122,172,78,95,152,203,85,137,155,158
EPS in Rs,0.45,0.28,0.71,1.07,1.58,0.54,0.81,1.33,1.79,0.62,1.17,1.32,1.11
Raw PDF,,,,,,,,,,,,,
