,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,390,474,517,564,544,571,728,832,814,806,"1,003","1,296","1,619"
Expenses +,459,487,528,547,506,525,657,711,678,719,838,"1,111","1,402"
Operating Profit,-68,-13,-11,16,37,46,71,121,135,86,165,184,217
OPM %,-18%,-3%,-2%,3%,7%,8%,10%,15%,17%,11%,16%,14%,13%
Other Income +,10,23,6,7,14,12,16,13,13,15,-14,51,-58
Interest,0,0,0,0,0,0,0,1,1,1,1,1,1
Depreciation,12,10,15,17,16,15,15,19,20,17,16,15,26
Profit before tax,-70,0,-21,6,36,44,73,114,127,83,134,220,132
Tax %,27%,,0%,9%,44%,41%,25%,37%,27%,26%,26%,26%,
Net Profit +,-90,-1,-21,5,20,26,54,72,93,62,99,162,97
EPS in Rs,-35.81,-0.20,-8.34,2.10,8.02,10.36,21.78,28.88,37.32,24.64,39.72,64.60,38.78
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,3%,5%,41%,40%,37%,
