,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,055","2,057","2,316","2,635","2,922","3,748","4,316","4,364","4,727","5,420","6,452","6,788","6,076"
Expenses +,"1,626","1,755","1,963","2,362","2,552","3,317","3,863","3,566","3,789","4,469","5,613","5,737","5,237"
Operating Profit,429,302,353,273,370,432,454,798,939,951,839,"1,052",839
OPM %,21%,15%,15%,10%,13%,12%,11%,18%,20%,18%,13%,15%,14%
Other Income +,39,26,-34,64,129,72,59,16,35,41,58,77,59
Interest,84,77,94,222,244,264,253,225,192,142,133,150,181
Depreciation,149,135,115,166,175,207,211,220,225,223,228,246,291
Profit before tax,235,115,109,-51,79,32,49,369,556,626,534,732,426
Tax %,25%,19%,4%,-108%,-10%,-33%,17%,31%,24%,24%,31%,33%,
Net Profit +,175,94,105,4,87,43,41,253,421,478,369,488,271
EPS in Rs,14.87,7.98,8.75,0.11,7.29,4.69,4.36,21.08,34.45,39.39,30.48,40.10,23.17
Dividend Payout %,17%,25%,23%,220%,10%,16%,17%,12%,11%,13%,12%,16%,
