,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,776","2,155","2,447","2,396","2,755","3,103","3,564","3,578","3,005","3,650","4,289","4,992","5,383"
Expenses +,"1,485","1,847","2,108","2,048","2,350","2,630","3,040","3,079","2,618","3,144","3,712","4,302","4,625"
Operating Profit,292,308,339,348,404,473,524,499,387,506,577,691,757
OPM %,16%,14%,14%,15%,15%,15%,15%,14%,13%,14%,13%,14%,14%
Other Income +,5,6,4,22,2,2,3,2,4,3,4,14,14
Interest,89,99,104,96,90,88,99,108,98,92,105,101,94
Depreciation,68,87,87,99,116,137,146,156,151,157,171,173,165
Profit before tax,141,128,150,174,201,250,282,237,142,259,305,431,512
Tax %,24%,23%,25%,19%,25%,26%,26%,26%,26%,26%,27%,27%,
Net Profit +,107,99,113,142,151,185,209,175,106,192,224,316,377
EPS in Rs,4.92,4.54,5.22,6.57,6.50,7.98,8.96,7.48,4.57,8.31,9.69,13.68,16.33
Dividend Payout %,9%,10%,10%,8%,10%,10%,10%,13%,15%,12%,13%,1%,
