,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,479,381,340,256,298,268,299,329,326,343,367,367,422
Expenses +,384,320,304,242,248,231,258,278,295,301,314,327,384
Operating Profit,94,60,36,14,50,37,41,52,31,41,53,40,38
OPM %,20%,16%,11%,6%,17%,14%,14%,16%,9%,12%,14%,11%,9%
Other Income +,2,1,1,-19,1,3,0,3,-2,4,5,2,-4
Interest,3,2,3,3,3,2,2,2,2,2,3,5,4
Depreciation,9,9,10,10,11,9,10,10,11,10,11,10,11
Profit before tax,84,50,25,-17,37,28,30,43,17,33,45,27,19
Tax %,23%,23%,25%,5%,1%,24%,12%,15%,21%,15%,13%,34%,31%
Net Profit +,65,39,18,-18,36,22,26,36,13,28,39,18,13
EPS in Rs,5.78,3.45,1.65,-1.56,3.24,1.94,2.35,3.27,1.29,2.50,3.43,1.61,1.19
Raw PDF,,,,,,,,,,,,,
