,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,699","1,968","2,318",925,979,"1,475","4,943","5,175","4,498","5,526","5,912","8,976","8,869"
Expenses +,"1,586","1,757","2,146",794,948,"1,416","4,629","4,470","3,690","4,488","5,719","9,535","9,483"
Operating Profit,113,211,172,131,31,59,314,705,808,"1,038",193,-559,-614
OPM %,7%,11%,7%,14%,3%,4%,6%,14%,18%,19%,3%,-6%,-7%
Other Income +,43,4,-102,34,43,98,71,104,122,129,173,791,745
Interest,144,61,48,19,22,27,101,142,88,38,116,187,263
Depreciation,42,56,40,35,56,69,132,166,139,113,123,203,233
Profit before tax,-30,99,-17,112,-4,61,152,502,703,"1,016",127,-159,-365
Tax %,42%,14%,123%,3%,599%,85%,-39%,17%,-6%,9%,-1%,5%,
Net Profit +,-42,89,-26,195,6,9,210,417,746,926,128,-167,-378
EPS in Rs,-0.15,0.61,0.26,1.14,0.04,0.06,0.97,1.41,2.66,3.41,0.68,-0.28,-0.83
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
