,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,757,743,672,624,637,702,693,685,701,662,692,643,567
Expenses +,568,526,600,565,498,529,542,526,596,501,521,515,497
Operating Profit,189,218,73,59,139,173,150,159,105,161,170,128,71
OPM %,25%,29%,11%,9%,22%,25%,22%,23%,15%,24%,25%,20%,12%
Other Income +,5,7,4,-1,-1,10,12,10,11,13,19,17,17
Interest,16,21,23,13,9,8,13,8,5,4,6,8,10
Depreciation,35,25,26,28,29,25,26,15,13,14,13,14,14
Profit before tax,143,179,29,17,99,149,123,146,98,157,170,123,64
Tax %,-0%,25%,43%,34%,35%,26%,27%,25%,64%,28%,26%,24%,26%
Net Profit +,143,134,16,11,64,111,89,109,36,113,125,93,47
EPS in Rs,26.43,24.85,3.02,2.01,11.87,20.46,16.53,20.14,6.54,20.95,23.17,17.30,8.77
Raw PDF,,,,,,,,,,,,,
