,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,38,10,28,32,42,8,31,56,67,77
Expenses +,2,2,2,3,5,3,3,3,5,8
Operating Profit,36,8,26,29,37,5,28,53,62,69
OPM %,95%,80%,92%,90%,87%,60%,91%,95%,93%,89%
Other Income +,-12,-0,25,32,27,42,44,25,29,31
Interest,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0
Profit before tax,24,8,51,61,63,46,71,77,91,99
Tax %,0%,-0%,-0%,0%,24%,25%,20%,25%,23%,
Net Profit +,37,28,51,61,48,35,57,58,70,75
EPS in Rs,84.16,63.91,116.28,139.92,110.05,79.24,130.96,133.05,160.47,171.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
