,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"3,981","5,029","3,915","2,212","3,930","4,791","5,616","7,183","3,843","4,631","8,627","7,046","6,896"
Expenses +,"4,081","4,921","3,771","2,026","3,727","4,525","5,245","6,906","3,456","4,096","7,955","6,123","5,900"
Operating Profit,-100,108,144,185,204,266,371,277,388,535,672,923,996
OPM %,-3%,2%,4%,8%,5%,6%,7%,4%,10%,12%,8%,13%,14%
Other Income +,232,13,42,8,6,8,8,33,37,39,187,190,206
Interest,60,18,20,18,16,15,26,33,17,22,88,116,142
Depreciation,19,22,23,23,24,34,51,69,72,79,126,135,145
Profit before tax,53,80,142,153,169,225,302,208,336,472,645,861,915
Tax %,34%,14%,21%,17%,21%,5%,17%,35%,26%,18%,21%,22%,
Net Profit +,35,69,112,126,133,214,252,134,249,385,511,672,707
EPS in Rs,1.01,1.83,3.10,3.39,3.57,5.92,6.63,2.93,6.36,10.19,13.19,16.22,16.47
Dividend Payout %,37%,29%,24%,27%,29%,21%,21%,58%,31%,25%,44%,40%,
