,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,397,369,418,477,415,653,742,787,907,727,745,"1,017","1,070"
Expenses +,359,327,377,438,367,606,694,717,842,662,676,939,992
Operating Profit,38,42,41,39,48,47,49,70,65,65,69,78,78
OPM %,10%,11%,10%,8%,11%,7%,7%,9%,7%,9%,9%,8%,7%
Other Income +,6,3,4,33,13,21,3,2,6,16,32,4,27
Interest,0,0,0,1,0,1,1,1,0,1,1,2,2
Depreciation,13,16,15,15,16,16,16,17,17,18,16,17,19
Profit before tax,30,28,30,56,45,51,35,55,54,62,83,62,84
Tax %,20%,0%,24%,29%,21%,25%,28%,27%,21%,21%,17%,24%,24%
Net Profit +,24,28,23,40,35,38,25,41,43,49,69,47,64
EPS in Rs,0.09,0.11,0.09,0.15,0.13,0.15,0.10,0.15,0.16,0.18,0.25,0.16,0.22
Raw PDF,,,,,,,,,,,,,
