,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,870,951,938,972,882,"1,021","1,028","1,105","1,054","1,145","1,187","1,146","1,170"
Expenses +,664,729,742,802,732,750,738,791,776,815,875,825,873
Operating Profit,207,222,196,170,149,271,291,314,278,330,311,321,297
OPM %,24%,23%,21%,17%,17%,27%,28%,28%,26%,29%,26%,28%,25%
Other Income +,29,33,40,35,37,32,21,14,36,26,19,30,18
Interest,7,1,1,3,1,1,2,2,2,1,6,8,6
Depreciation,31,32,33,33,33,33,34,34,34,34,34,36,40
Profit before tax,198,222,203,168,152,269,276,291,278,322,290,307,269
Tax %,24%,21%,23%,20%,20%,23%,29%,28%,27%,24%,25%,24%,16%
Net Profit +,151,175,157,135,122,208,195,210,203,246,216,233,225
EPS in Rs,11.80,13.63,12.22,10.50,9.54,16.24,15.24,16.39,15.82,19.68,17.33,18.64,18.03
Raw PDF,,,,,,,,,,,,,
