,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,926,"1,029",967,"1,037","1,343","1,394","1,572","1,710"
Expenses +,802,894,864,901,"1,124","1,300","1,414","1,528"
Operating Profit,124,135,104,136,219,94,158,183
OPM %,13%,13%,11%,13%,16%,7%,10%,11%
Other Income +,2,2,5,3,7,5,4,7
Interest,18,16,16,9,10,15,20,28
Depreciation,12,11,14,15,17,18,21,38
Profit before tax,95,109,78,115,198,66,122,124
Tax %,33%,33%,26%,26%,26%,20%,25%,26%
Net Profit +,64,74,57,85,147,52,91,92
EPS in Rs,11.22,12.98,10.11,15.04,25.93,9.26,15.90,16.05
Dividend Payout %,14%,13%,17%,16%,12%,32%,19%,19%
