,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,397,528,644,720,789,"1,206","1,597","1,283","1,173","1,178","1,396","1,404"
Expenses +,35,43,61,83,145,244,"1,142",758,"1,495",321,547,586
Operating Profit,362,485,583,637,644,961,456,525,-323,857,849,819
OPM %,91%,92%,91%,88%,82%,80%,29%,41%,-28%,73%,61%,58%
Other Income +,0,0,0,-0,-1,-0,1,-2,1,1,1,74
Interest,192,258,289,312,326,564,863,709,540,580,687,741
Depreciation,1,1,1,2,5,18,30,34,35,40,33,31
Profit before tax,169,226,293,323,312,379,-437,-219,-896,239,130,121
Tax %,34%,34%,35%,35%,36%,36%,-26%,-2%,-18%,6%,11%,0%
Net Profit +,112,149,192,211,200,241,-325,-214,-737,225,116,121
EPS in Rs,21.89,29.10,37.42,26.90,25.46,26.10,-35.11,-17.30,-54.12,16.55,8.51,8.86
Dividend Payout %,0%,0%,0%,0%,0%,8%,-3%,0%,0%,0%,0%,0%
