,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,853,800,851,870,833,911,"1,009","1,003","1,006","1,002","1,001","1,000","1,024"
Expenses +,669,669,712,718,667,729,812,810,845,814,825,837,861
Operating Profit,184,131,140,151,166,182,197,193,160,189,175,163,163
OPM %,22%,16%,16%,17%,20%,20%,20%,19%,16%,19%,18%,16%,16%
Other Income +,5,4,11,6,5,5,6,5,26,10,10,9,11
Interest,0,0,0,0,0,1,2,2,2,2,2,1,1
Depreciation,10,9,10,12,15,16,23,23,23,23,23,25,27
Profit before tax,178,126,140,145,156,170,179,173,162,174,161,147,146
Tax %,21%,20%,21%,20%,23%,20%,20%,19%,20%,19%,19%,19%,20%
Net Profit +,141,100,110,117,120,135,143,140,130,141,130,119,117
EPS in Rs,10.36,7.40,8.14,8.58,8.95,10.07,10.60,10.42,9.69,10.50,9.68,8.80,8.72
Raw PDF,,,,,,,,,,,,,
