,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,48,24,21,14,17,17,13,15,27
Expenses +,137,126,113,116,122,110,116,89,80
Operating Profit,-90,-102,-91,-103,-106,-93,-103,-74,-53
OPM %,-188%,-427%,-432%,-740%,-639%,-555%,-800%,-494%,-196%
Other Income +,11,10,8,6,4,2,0,0,0
Interest,0,0,0,0,1,1,1,3,5
Depreciation,3,3,3,3,3,3,3,3,3
Profit before tax,-82,-95,-86,-100,-105,-96,-107,-79,-61
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,-1%
Net Profit +,-82,-95,-86,-100,-106,-96,-107,-80,-60
EPS in Rs,-2.53,-2.94,-2.66,-3.07,-3.26,-2.96,-3.31,-2.45,-1.84
Raw PDF,,,,,,,,,
