,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,324,370,395,324,349,380,397,454,447,474,621,466,548
Expenses +,268,308,328,279,296,316,332,379,368,356,484,385,443
Operating Profit,55,62,67,45,53,64,65,75,78,119,137,81,104
OPM %,17%,17%,17%,14%,15%,17%,16%,17%,18%,25%,22%,17%,19%
Other Income +,15,8,9,7,17,9,9,9,12,11,14,12,17
Interest,5,4,4,4,5,4,4,2,2,2,2,2,2
Depreciation,7,7,8,8,10,10,10,10,10,10,10,10,10
Profit before tax,59,59,64,40,56,59,61,73,78,118,138,81,109
Tax %,23%,25%,25%,25%,23%,25%,24%,23%,26%,25%,25%,25%,29%
Net Profit +,45,45,48,30,43,44,46,56,58,88,104,61,78
EPS in Rs,19.42,19.17,20.72,13.09,18.54,18.81,19.76,24.05,24.88,38.03,44.88,26.17,33.49
Raw PDF,,,,,,,,,,,,,
