,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales +,"1,155","1,308","1,567","1,496","1,265","1,473","1,768","1,406","3,176","1,794","1,676","2,330","3,069"
Expenses +,967,"1,066","1,212","1,242","1,207","1,433","1,749","1,329","3,230","1,992","1,822","2,491","3,178"
Operating Profit,188,242,355,254,58,41,19,77,-54,-198,-146,-161,-109
OPM %,16%,18%,23%,17%,5%,3%,1%,5%,-2%,-11%,-9%,-7%,-4%
Other Income +,34,27,38,30,39,22,69,40,220,210,181,180,174
Interest,10,9,9,10,11,25,31,50,36,34,40,77,113
Depreciation,29,29,28,27,26,28,33,35,39,50,46,68,69
Profit before tax,182,231,356,247,60,10,24,33,89,-72,-50,-127,-117
Tax %,11%,-0%,12%,11%,0%,-5%,-56%,40%,-2%,-9%,11%,8%,3%
Net Profit +,162,231,312,221,60,10,38,20,91,-65,-56,-137,-120
EPS in Rs,0.58,0.82,1.17,0.84,0.20,0.03,0.24,0.21,0.26,-0.17,-0.07,-0.30,-0.29
Raw PDF,,,,,,,,,,,,,
