,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,167","1,590","1,965","2,435","2,060","2,594","3,092","2,223","2,368","2,976","4,300","4,651","4,950"
Expenses +,"2,058","1,463","1,778","2,206","1,868","2,316","2,797","2,309","2,148","2,680","3,837","4,134","4,389"
Operating Profit,109,127,188,229,192,278,295,-86,220,296,463,517,560
OPM %,5%,8%,10%,9%,9%,11%,10%,-4%,9%,10%,11%,11%,11%
Other Income +,33,44,23,29,27,27,80,54,-8,56,16,15,39
Interest,42,28,39,37,30,40,51,41,39,32,42,57,45
Depreciation,77,48,60,74,58,74,88,87,94,112,138,166,191
Profit before tax,22,96,111,147,131,191,236,-160,80,208,298,308,363
Tax %,78%,18%,24%,25%,22%,25%,28%,25%,39%,12%,1%,27%,
Net Profit +,5,79,88,110,102,143,169,-200,53,192,284,227,274
EPS in Rs,0.29,3.79,4.28,5.12,4.88,6.82,7.45,-8.79,2.21,8.03,11.90,9.50,11.47
Dividend Payout %,68%,5%,9%,10%,10%,9%,9%,-4%,29%,12%,10%,15%,
