,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"11,383","12,114","13,952","15,358","14,391","15,373","16,556","17,129","18,556","23,521","35,244","29,413","30,355"
Expenses +,"10,356","11,212","12,938","14,517","12,965","14,068","15,105","15,242","16,467","21,146","32,088","26,825","27,776"
Operating Profit,"1,027",902,"1,014",841,"1,426","1,305","1,450","1,887","2,089","2,375","3,156","2,588","2,579"
OPM %,9%,7%,7%,5%,10%,8%,9%,11%,11%,10%,9%,9%,8%
Other Income +,95,105,105,179,159,150,83,129,17,240,83,304,370
Interest,388,465,420,451,417,336,425,430,236,152,298,295,362
Depreciation,215,226,244,250,248,251,272,319,332,334,376,421,484
Profit before tax,519,315,455,319,920,868,837,"1,266","1,539","2,129","2,564","2,175","2,102"
Tax %,30%,31%,39%,45%,23%,40%,48%,30%,35%,26%,29%,26%,
Net Profit +,363,219,276,175,708,517,438,889,"1,000","1,574","1,828","1,618","1,527"
EPS in Rs,11.77,4.44,6.64,1.96,29.61,14.45,8.67,26.43,25.26,51.12,53.37,50.68,45.73
Dividend Payout %,74%,62%,89%,0%,14%,21%,35%,0%,0%,22%,18%,8%,
