,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,969,"1,026","1,316","1,124","1,321","1,258","1,671"
Expenses +,"1,027","1,071","1,215","1,228","1,387","1,282","1,420"
Operating Profit,-58,-46,100,-103,-66,-24,251
OPM %,-6%,-4%,8%,-9%,-5%,-2%,15%
Other Income +,50,50,57,84,79,37,-45
Interest,-0,-0,-0,-0,-0,-0,-0
Depreciation,-0,-0,-0,-0,-0,-0,-0
Profit before tax,-8,5,157,-19,13,13,206
Tax %,-0%,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit +,-8,5,157,-19,13,13,206
EPS in Rs,,,,,,0.07,1.13
Raw PDF,,,,,,,
