,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,770,735,666,585,592,692,750,764,801,"1,165",946,"1,142"
Expenses +,584,561,536,469,457,525,611,798,683,"1,184",741,"1,002"
Operating Profit,186,174,130,116,135,167,139,-34,118,-19,204,140
OPM %,24%,24%,19%,20%,23%,24%,19%,-4%,15%,-2%,22%,12%
Other Income +,2,10,26,14,20,7,6,3,19,3,3,24
Interest,12,26,18,18,20,18,14,20,12,29,28,38
Depreciation,138,92,93,100,113,113,117,119,120,150,141,152
Profit before tax,39,65,45,12,22,43,13,-170,5,-195,38,-26
Tax %,3%,4%,7%,40%,21%,12%,59%,1%,25%,1%,5%,5%
Net Profit +,38,62,42,7,17,38,6,-172,4,-196,36,-27
EPS in Rs,13.41,22.29,14.97,2.65,6.12,13.58,1.97,-61.52,1.28,-70.07,12.74,-9.81
Dividend Payout %,22%,13%,20%,0%,33%,22%,0%,0%,0%,0%,0%,0%
