Ticker,QoQ Net Profit Growth (%),QoQ Compared Quarters,YoY Net Profit Growth (%),YoY Compared Years,QoQ Revenue Growth (%),YoY Revenue Growth (%),Recovered from Harsh Condition,Error
BHARATFORG,29.14,"Dec 2024, Mar 2025",23.52,"Mar 2024, Mar 2025",10.85,Not ascending,No,No harsh condition recovery
LUPIN,Not ascending,"Dec 2024, Mar 2025",72.3,"Mar 2024, Mar 2025",Not ascending,13.48,No,No harsh condition recovery
IDEA,-8.25,"Sep 2024, Dec 2024",-10.65,"Mar 2024, TTM",1.69,1.2,Yes,None
TATAPOWER,Not ascending,"Dec 2024, Mar 2025",199.77,"Mar 2024, Mar 2025",11.08,6.56,No,No harsh condition recovery
TCI,2.74,"Dec 2024, Mar 2025",19.15,"Mar 2024, Mar 2025",2.79,11.63,No,No harsh condition recovery
KINGFA,Not ascending,"Sep 2024, Dec 2024",13.33,"Mar 2024, TTM",5.26,12.9,No,No harsh condition recovery
MPHASIS,5.75,"Dec 2024, Mar 2025",8.23,"Mar 2024, Mar 2025",4.18,7.16,No,No harsh condition recovery
GRINFRA,144.95,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",34.36,Not ascending,No,No harsh condition recovery
DCBBANK,17.22,"Dec 2024, Mar 2025",14.74,"Mar 2024, Mar 2025",4.25,20.68,No,No harsh condition recovery
VADILALIND,Not ascending,"Sep 2024, Dec 2024",3.73,"Mar 2024, TTM",Not ascending,8.0,No,No harsh condition recovery
APLLTD,11.72,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",4.55,7.11,No,No harsh condition recovery
ECOSMOBLTY,36.36,"Dec 2024, Mar 2025",2.04,"Mar 2024, Mar 2025",5.36,19.56,No,No harsh condition recovery
SCHAEFFLER,7.92,"Dec 2024, Mar 2025",3.53,"Dec 2024, TTM",1.78,3.67,No,No harsh condition recovery
GPIL,52.0,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",13.1,Not ascending,No,No harsh condition recovery
GOKULAGRO,Not ascending,"Dec 2024, Mar 2025",103.85,"Mar 2024, Mar 2025",9.5,41.12,No,No harsh condition recovery
RPGLIFE,Not ascending,"Dec 2024, Mar 2025",8.64,"Mar 2024, Mar 2025",Not ascending,12.2,No,No harsh condition recovery
BOROLTD,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,19.4,No,No harsh condition recovery
DBREALTY,-98.5,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",316.82,77.03,No,No harsh condition recovery
SAMHI,150.0,"Sep 2024, Dec 2024",-112.02,"Mar 2024, TTM",11.28,13.9,Yes,None
SJVN,Not ascending,"Sep 2024, Dec 2024",1.69,"Mar 2024, TTM",Not ascending,18.3,No,No harsh condition recovery
JSWINFRA,68.77,"Dec 2024, Mar 2025",30.5,"Mar 2024, Mar 2025",8.54,18.95,No,No harsh condition recovery
NATIONALUM,32.31,"Dec 2024, Mar 2025",274.89,"Mar 2024, Mar 2025",13.0,27.68,Yes,None
ARTEMISMED,Not ascending,"Dec 2024, Mar 2025",16.67,"Mar 2024, Mar 2025",3.45,6.6,No,No harsh condition recovery
CREDITACC,-147.0,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",1.96,12.37,No,No harsh condition recovery
BFINVEST,-385.15,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",Not ascending,11.63,No,No harsh condition recovery
PIDILITIND,Not ascending,"Dec 2024, Mar 2025",11.28,"Mar 2024, Mar 2025",Not ascending,6.11,No,No harsh condition recovery
SUZLON,96.72,"Sep 2024, Dec 2024",59.8,"Mar 2024, TTM",41.46,42.38,Yes,None
AKZOINDIA,1.94,"Dec 2024, Mar 2025",2.55,"Mar 2024, Mar 2025",Not ascending,3.26,No,No harsh condition recovery
GANECOS,Not ascending,"Dec 2024, Mar 2025",226.92,"Mar 2024, Mar 2025",Not ascending,30.54,No,No harsh condition recovery
BLUEDART,27.78,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",4.42,6.8,No,No harsh condition recovery
DIVISLAB,13.61,"Dec 2024, Mar 2025",45.38,"Mar 2024, Mar 2025",11.47,19.31,No,No harsh condition recovery
RENUKA,-113.56,"Dec 2024, Mar 2025",-36.55,"Mar 2024, Mar 2025",3.38,Not ascending,No,Did not meet improvement criteria
SHAREINDIA,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,Not ascending,No,No harsh condition recovery
IKIO,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,10.96,No,No harsh condition recovery
STLTECH,-15.79,"Dec 2024, Mar 2025",-13.6,"Mar 2024, Mar 2025",5.31,Not ascending,No,Did not meet improvement criteria
AFCONS,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",0.37,Not ascending,No,No harsh condition recovery
