,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,610","2,474","1,381","1,438","1,458","1,694","1,351","1,421","1,560","2,196","2,022","2,103","2,975"
Expenses +,"1,324","2,258","1,166","1,268","1,243","1,461","1,152","1,196","1,313","1,839","1,652","1,809","2,475"
Operating Profit,286,217,214,170,215,233,199,225,248,357,370,294,500
OPM %,18%,9%,16%,12%,15%,14%,15%,16%,16%,16%,18%,14%,17%
Other Income +,5,4,"2,472",5,6,257,19,-28,9,-16,23,18,28
Interest,186,176,151,97,86,86,62,44,14,44,45,56,70
Depreciation,63,77,59,63,58,81,55,51,39,44,46,54,66
Profit before tax,42,-33,"2,476",15,78,323,101,102,203,253,302,202,391
Tax %,11%,485%,2%,-283%,-1%,1%,0%,0%,0%,-0%,0%,0%,1%
Net Profit +,38,-206,"2,433",56,78,320,101,102,203,254,302,201,388
EPS in Rs,0.03,-0.18,2.01,0.05,0.06,0.22,0.08,0.08,0.15,0.19,0.22,0.15,0.29
Raw PDF,,,,,,,,,,,,,
