,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"3,021","2,788","2,825","3,010","3,275","3,472","3,606","3,820","4,164","4,474","4,929","5,190","5,622"
Interest,"1,032","1,051","1,020","1,047","1,091","1,236","1,335","1,412","1,447","1,595","1,807","1,900","2,111"
Expenses +,636,624,596,715,829,847,805,872,"1,121","1,226","1,324","1,405","1,575"
Financing Profit,"1,353","1,113","1,208","1,248","1,355","1,389","1,467","1,536","1,596","1,653","1,798","1,885","1,936"
Financing Margin %,45%,40%,43%,41%,41%,40%,41%,40%,38%,37%,36%,36%,34%
Other Income +,20,16,17,21,23,37,26,23,16,19,29,32,31
Depreciation,21,17,18,20,23,19,22,24,27,26,25,31,35
Profit before tax,"1,352","1,112","1,207","1,249","1,355","1,407","1,470","1,534","1,585","1,646","1,802","1,886","1,932"
Tax %,26%,26%,25%,25%,26%,26%,26%,25%,25%,27%,27%,26%,25%
Net Profit +,"1,006",825,902,934,"1,009","1,045","1,095","1,145","1,182","1,196","1,321","1,392","1,444"
EPS in Rs,24.84,20.41,22.22,23.11,24.25,25.46,26.39,27.49,28.37,28.99,31.67,34.60,36.81
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
