,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,33,33,33,33,33,33,36,36,36,36,36,36
Reserves,958,"1,389","1,431","1,514","1,562","1,613","2,352","2,277","2,328","2,560","4,032","5,426"
Borrowings +,332,267,400,392,391,494,300,300,"4,725","4,464","1,753","2,237"
Other Liabilities +,614,518,292,283,349,418,"2,819","3,111",637,"1,022","1,341","1,721"
Total Liabilities,"1,936","2,207","2,157","2,222","2,336","2,559","5,507","5,724","7,726","8,082","7,162","9,420"
Fixed Assets +,720,668,477,549,613,662,"2,738","3,054","4,687","4,527","2,450","3,895"
CWIP,138,92,55,5,10,87,23,108,105,102,224,180
Investments,300,740,"1,067","1,080","1,023",883,"1,515","1,487","1,284","1,110","1,416","1,480"
Other Assets +,778,706,558,588,691,927,"1,230","1,075","1,651","2,343","3,072","3,865"
Total Assets,"1,936","2,207","2,157","2,222","2,336","2,559","5,507","5,724","7,726","8,082","7,162","9,420"
