,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,106,106,106,106,106,115,120,120,121,121
Reserves,70,-19,33,-176,-295,-2,566,850,935,974
Borrowings +,348,306,371,488,"1,832","1,336","1,254","1,565","2,906","3,188"
Other Liabilities +,196,202,218,"1,390",240,219,322,450,971,"1,057"
Total Liabilities,720,596,728,"1,807","1,884","1,668","2,263","2,985","4,932","5,339"
Fixed Assets +,491,406,445,"1,578","1,635","1,392","1,756","2,427","4,216","4,622"
CWIP,38,15,56,12,14,14,7,15,11,3
Investments,0,0,0,0,0,0,0,0,0,1
Other Assets +,192,174,226,218,235,262,500,543,705,712
Total Assets,720,596,728,"1,807","1,884","1,668","2,263","2,985","4,932","5,339"
