,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"9,344","11,340","12,464","13,498","17,512","21,548","19,859","20,299","25,591","33,662","40,248","44,993"
Expenses +,"8,762","10,622","11,506","12,494","15,973","19,205","17,446","17,911","22,599","29,356","34,417","38,149"
Operating Profit,582,717,959,"1,004","1,539","2,343","2,412","2,388","2,992","4,306","5,830","6,844"
OPM %,6%,6%,8%,7%,9%,11%,12%,12%,12%,13%,14%,15%
Other Income +,68,98,102,171,121,28,-8,38,22,118,29,70
Interest,115,99,102,88,372,719,910,929,985,"1,424","2,043","2,223"
Depreciation,214,238,317,377,447,534,649,643,845,986,"1,030","1,067"
Profit before tax,320,478,641,710,841,"1,118",845,854,"1,184","2,013","2,786","3,624"
Tax %,40%,29%,26%,23%,25%,33%,26%,31%,30%,34%,36%,34%
Net Profit +,194,345,472,547,629,750,627,592,824,"1,333","1,782","2,409"
EPS in Rs,69.92,105.01,144.49,163.47,167.39,213.93,166.89,160.24,218.19,321.61,396.23,576.33
Dividend Payout %,37%,18%,28%,19%,9%,17%,19%,16%,20%,18%,24%,16%
