,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,166","1,293","1,325","1,337","1,217","1,238","1,324","1,383","1,323","1,343","1,448","1,512","1,417"
Expenses +,874,"1,026","1,082","1,109","1,017","1,047","1,102","1,170","1,097","1,141","1,230","1,272","1,204"
Operating Profit,292,267,243,228,199,191,223,213,226,202,218,239,213
OPM %,25%,21%,18%,17%,16%,15%,17%,15%,17%,15%,15%,16%,15%
Other Income +,4,7,8,9,9,10,5,24,11,9,9,12,12
Interest,20,18,18,16,15,19,20,20,19,21,21,21,20
Depreciation,93,97,101,100,96,99,111,111,113,118,121,121,124
Profit before tax,183,159,131,121,97,82,98,108,105,72,85,109,81
Tax %,25%,25%,29%,27%,28%,26%,25%,17%,26%,26%,26%,26%,32%
Net Profit +,137,119,94,89,69,61,73,89,78,53,63,81,55
EPS in Rs,57.73,50.06,39.46,37.37,29.27,25.83,30.79,37.46,32.78,22.51,26.48,34.14,23.24
Raw PDF,,,,,,,,,,,,,
