,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,17,17,17,17,17,16,15,15,15,15,16,16
Reserves,"1,026",978,"1,167","1,347","1,425","1,464","1,420","1,794","2,119","2,465","2,908","3,418"
Borrowings +,93,127,193,49,29,26,29,45,55,572,378,22
Other Liabilities +,215,365,270,262,294,286,349,376,412,495,687,819
Total Liabilities,"1,351","1,487","1,648","1,674","1,765","1,792","1,814","2,231","2,601","3,547","3,988","4,274"
Fixed Assets +,311,329,440,679,640,621,651,634,"1,277","1,901","2,004","1,985"
CWIP,46,55,135,4,17,15,16,26,19,55,76,47
Investments,500,552,479,411,434,457,403,678,13,206,388,345
Other Assets +,494,552,594,580,674,699,743,894,"1,293","1,385","1,519","1,897"
Total Assets,"1,351","1,487","1,648","1,674","1,765","1,792","1,814","2,231","2,601","3,547","3,988","4,274"
